Date,Open,High,Low,Close,Adj Close,Volume,Tesla Trend,Musk Trend,GM Trend,EV Trend,Coronavirus Trend,Month,Day of the Month,Day of the Week,Day of the Year,Year
2016-10-21,39.720001,40.313999,39.481998,40.018002,40.018002,14717000.0,13.78,2.5500000000000003,57.85,18.72,0.0,10,21,4,295,2016
2016-10-24,40.200001,40.790001,40.049999,40.551998,40.551998,13758000.0,11.44,2.5,65.0,21.84,0.0,10,24,0,298,2016
2016-10-25,40.580002,40.938,40.240002,40.467999,40.467999,12225000.0,10.92,1.9,63.7,21.84,0.0,10,25,1,299,2016
2016-10-26,40.200001,40.638,40.02,40.448002,40.448002,28164000.0,13.78,2.25,60.45,15.84,0.0,10,26,2,300,2016
2016-10-27,42.268002,42.740002,40.330002,40.801998,40.801998,65468500.0,14.56,2.4000000000000004,59.8,23.04,0.0,10,27,3,301,2016
2016-10-28,40.799999,41.063999,39.966,39.993999,39.993999,21400500.0,12.22,2.2,59.8,11.52,0.0,10,28,4,302,2016
2016-10-31,40.498001,40.498001,39.161999,39.546001,39.546001,23461500.0,16.64,4.05,59.8,12.96,0.0,10,31,0,305,2016
2016-11-01,39.608002,39.700001,37.622002,38.158001,38.158001,35300000.0,24.0,4.44,61.44,21.58,0.0,11,1,1,306,2016
2016-11-02,38.009998,38.540001,37.501999,37.604,37.604,21267000.0,22.32,5.1,57.6,22.62,0.0,11,2,2,307,2016
2016-11-03,37.799999,38.293999,37.408001,37.484001,37.484001,13265000.0,20.16,4.68,64.0,23.4,0.0,11,3,3,308,2016
2016-11-04,37.799999,38.692001,37.192001,38.112,38.112,25730000.0,22.08,4.8,55.04,21.32,0.0,11,4,4,309,2016
2016-11-07,38.717999,38.858002,38.009998,38.641998,38.641998,19350500.0,21.36,3.96,59.52,22.36,0.0,11,7,0,312,2016
2016-11-08,38.757999,39.498001,38.251999,38.987999,38.987999,16338000.0,18.48,3.36,51.84,17.42,0.0,11,8,1,313,2016
2016-11-09,37.375999,38.400002,36.790001,38.012001,38.012001,40865500.0,13.68,3.78,44.16,14.56,0.0,11,9,2,314,2016
2016-11-10,38.209999,38.321999,36.084,37.07,37.07,33751500.0,18.24,3.54,59.52,17.42,0.0,11,10,3,315,2016
2016-11-11,36.848,37.776001,36.599998,37.712002,37.712002,19942500.0,17.28,3.48,57.6,10.66,0.0,11,11,4,316,2016
2016-11-14,37.599998,37.650002,35.638,36.290001,36.290001,32761000.0,18.0,3.0,59.52,23.66,0.0,11,14,0,319,2016
2016-11-15,36.556,37.285999,36.41,36.754002,36.754002,19510000.0,18.72,4.44,64.0,21.58,0.0,11,15,1,320,2016
2016-11-16,36.529999,36.945999,36.242001,36.785999,36.785999,17172000.0,18.0,2.94,58.88,21.84,0.0,11,16,2,321,2016
2016-11-17,36.698002,37.897999,36.422001,37.731998,37.731998,24435500.0,21.84,4.68,60.8,21.06,0.0,11,17,3,322,2016
2016-11-18,38.130001,38.599998,37.0,37.004002,37.004002,26051500.0,22.32,4.859999999999999,58.24,23.66,0.0,11,18,4,323,2016
2016-11-21,37.007999,37.778,36.882,36.903999,36.903999,21805000.0,20.16,3.66,60.16,14.82,0.0,11,21,0,326,2016
2016-11-22,37.167999,38.293999,36.742001,38.234001,38.234001,28017000.0,18.72,4.14,57.6,23.66,0.0,11,22,1,327,2016
2016-11-23,38.122002,39.127998,37.799999,38.627998,38.627998,24459500.0,20.16,3.66,51.84,21.06,0.0,11,23,2,328,2016
2016-11-25,38.728001,39.448002,38.728001,39.330002,39.330002,11830500.0,18.24,2.82,42.24,25.22,0.0,11,25,4,330,2016
2016-11-28,39.096001,39.869999,38.91,39.223999,39.223999,22646000.0,16.32,2.46,58.24,26.0,0.0,11,28,0,333,2016
2016-11-29,39.112,39.346001,37.900002,37.914001,37.914001,22196500.0,19.2,6.0,60.16,20.28,0.0,11,29,1,334,2016
2016-11-30,38.200001,38.377998,37.5,37.880001,37.880001,17735500.0,16.8,2.7,58.24,19.5,0.0,11,30,2,335,2016
2016-12-01,37.650002,37.706001,36.200001,36.375999,36.375999,25632000.0,16.28,1.8,61.38,14.0,0.0,12,1,3,336,2016
2016-12-02,36.576,36.976002,36.0,36.293999,36.293999,20211500.0,17.38,1.3,57.66,14.25,0.0,12,2,4,337,2016
2016-12-05,36.501999,37.778,36.501999,37.360001,37.360001,20361000.0,15.84,1.4500000000000002,58.28,21.75,0.0,12,5,0,340,2016
2016-12-06,37.104,37.316002,36.535999,37.169998,37.169998,16958000.0,14.3,1.9,58.9,22.0,0.0,12,6,1,341,2016
2016-12-07,37.23,38.68,37.0,38.630001,38.630001,27309500.0,16.06,1.7000000000000002,58.9,25.0,0.0,12,7,2,342,2016
2016-12-08,38.41,38.5,37.908001,38.458,38.458,15970500.0,17.16,1.6,58.28,21.5,0.0,12,8,3,343,2016
2016-12-09,38.174,38.768002,38.161999,38.436001,38.436001,13612500.0,14.74,1.25,55.8,19.5,0.0,12,9,4,344,2016
2016-12-12,38.560001,38.883999,38.236,38.486,38.486,12194500.0,14.52,1.25,58.9,20.75,0.0,12,12,0,347,2016
2016-12-13,38.636002,40.256001,38.599998,39.630001,39.630001,34119500.0,14.96,1.4,58.9,11.0,0.0,12,13,1,348,2016
2016-12-14,39.748001,40.599998,39.352001,39.737999,39.737999,20754500.0,16.06,5.0,62.0,13.0,0.0,12,14,2,349,2016
2016-12-15,39.681999,40.147999,39.478001,39.515999,39.515999,16098000.0,16.5,4.25,58.28,19.0,0.0,12,15,3,350,2016
2016-12-16,39.616001,40.518002,39.52,40.498001,40.498001,18984500.0,15.18,2.3000000000000003,60.14,13.0,0.0,12,16,4,351,2016
2016-12-19,40.498001,40.889999,39.967999,40.546001,40.546001,17440500.0,14.52,1.7000000000000002,58.9,16.75,0.0,12,19,0,354,2016
2016-12-20,40.610001,41.799999,40.5,41.757999,41.757999,23445500.0,15.84,1.9,61.38,13.0,0.0,12,20,1,355,2016
2016-12-21,41.689999,42.445999,41.481998,41.540001,41.540001,26038000.0,16.28,1.6,55.8,21.75,0.0,12,21,2,356,2016
2016-12-22,41.644001,41.998001,41.299999,41.689999,41.689999,15555500.0,15.62,1.7000000000000002,57.04,19.25,0.0,12,22,3,357,2016
2016-12-23,41.599998,42.689999,41.542,42.667999,42.667999,23352500.0,17.16,1.35,50.84,16.25,0.0,12,23,4,358,2016
2016-12-27,42.976002,44.450001,42.883999,43.905998,43.905998,29578500.0,17.38,1.3,57.66,9.0,0.0,12,27,1,362,2016
2016-12-28,44.306,44.759998,43.439999,43.948002,43.948002,18912500.0,22.0,1.35,58.28,17.75,0.0,12,28,2,363,2016
2016-12-29,43.712002,43.84,42.824001,42.936001,42.936001,20225000.0,18.7,0.95,57.04,18.25,0.0,12,29,3,364,2016
2016-12-30,43.259998,43.5,42.335999,42.737999,42.737999,23213000.0,18.7,1.65,49.6,14.75,0.0,12,30,4,365,2016
2017-01-03,42.972,44.066002,42.192001,43.397999,43.397999,29616500.0,18.92,2.0500000000000003,69.0,24.96,0.0,1,3,1,3,2017
2017-01-04,42.950001,45.599998,42.862,45.397999,45.397999,56067500.0,21.34,2.3000000000000003,62.1,20.8,0.0,1,4,2,4,2017
2017-01-05,45.284,45.495998,44.389999,45.349998,45.349998,29558500.0,20.68,1.95,57.27,16.64,0.0,1,5,3,5,2017
2017-01-06,45.386002,46.062,45.09,45.801998,45.801998,27639500.0,20.68,1.9,59.34,15.6,0.0,1,6,4,6,2017
2017-01-09,45.793999,46.383999,45.599998,46.256001,46.256001,19897500.0,18.7,1.8,56.58,13.0,0.0,1,9,0,9,2017
2017-01-10,46.400002,46.400002,45.377998,45.973999,45.973999,18300000.0,16.72,2.0500000000000003,59.34,15.6,0.0,1,10,1,10,2017
2017-01-11,45.813999,45.995998,45.335999,45.945999,45.945999,18254000.0,17.16,2.2,51.74999999999999,15.08,0.0,1,11,2,11,2017
2017-01-12,45.812,46.139999,45.116001,45.917999,45.917999,18951000.0,17.82,1.65,59.34,18.72,0.0,1,12,3,12,2017
2017-01-13,46.0,47.57,45.917999,47.549999,47.549999,30465000.0,22.0,1.6,57.96,18.2,0.0,1,13,4,13,2017
2017-01-17,47.34,47.992001,46.874001,47.116001,47.116001,23087500.0,18.26,1.75,66.24,13.78,0.0,1,17,1,17,2017
2017-01-18,47.330002,47.942001,47.116001,47.672001,47.672001,18845000.0,17.6,1.8,63.48,18.98,0.0,1,18,2,18,2017
2017-01-19,49.450001,49.736,48.150002,48.751999,48.751999,38661500.0,22.0,1.8,60.03,18.2,0.0,1,19,3,19,2017
2017-01-20,49.091999,49.200001,48.602001,48.945999,48.945999,21021500.0,18.26,2.3000000000000003,57.27,15.6,0.0,1,20,4,20,2017
2017-01-23,49.169998,50.178001,49.099998,49.784,49.784,31314500.0,18.04,2.35,57.27,15.08,0.0,1,23,0,23,2017
2017-01-24,50.0,50.959999,49.93,50.922001,50.922001,24827500.0,19.36,2.45,65.55,13.78,0.0,1,24,1,24,2017
2017-01-25,51.462002,51.692001,50.360001,50.894001,50.894001,25713000.0,18.7,4.2,55.2,16.38,0.0,1,25,2,25,2017
2017-01-26,50.858002,51.147999,50.150002,50.501999,50.501999,15760500.0,18.04,4.3,62.78999999999999,16.38,0.0,1,26,3,26,2017
2017-01-27,50.276001,50.599998,49.703999,50.59,50.59,15831500.0,18.26,3.5500000000000003,58.65,14.3,0.0,1,27,4,27,2017
2017-01-30,50.506001,51.057999,49.419998,50.125999,50.125999,19005500.0,17.38,5.0,64.86,13.52,0.0,1,30,0,30,2017
2017-01-31,49.848,51.178001,49.540001,50.386002,50.386002,20580500.0,17.16,3.75,65.55,17.94,0.0,1,31,1,31,2017
2017-02-01,50.610001,50.639999,49.810001,49.848,49.848,19794000.0,17.28,3.5500000000000003,61.41,18.76,0.0,2,1,2,32,2017
2017-02-02,49.667999,50.484001,49.542,50.310001,50.310001,12499000.0,15.84,2.85,60.72,24.92,0.0,2,2,3,33,2017
2017-02-03,50.382,50.436001,49.936001,50.265999,50.265999,10933500.0,16.8,4.3500000000000005,57.96,16.8,0.0,2,3,4,34,2017
2017-02-06,50.200001,51.563999,50.125999,51.554001,51.554001,17812500.0,17.04,2.8000000000000003,59.34,21.28,0.0,2,6,0,37,2017
2017-02-07,51.638,52.0,51.284,51.495998,51.495998,21224000.0,16.08,3.1500000000000004,69.0,23.8,0.0,2,7,1,38,2017
2017-02-08,51.470001,52.672001,51.240002,52.416,52.416,19665000.0,22.32,2.6,66.24,22.12,0.0,2,8,2,39,2017
2017-02-09,53.25,54.236,53.23,53.84,53.84,39101000.0,19.92,2.5,55.2,20.44,0.0,2,9,3,40,2017
2017-02-10,53.958,54.189999,53.222,53.846001,53.846001,18098500.0,19.2,2.45,57.96,19.040000000000003,0.0,2,10,4,41,2017
2017-02-13,54.147999,56.158001,54.102001,56.119999,56.119999,35148000.0,18.24,2.5,57.96,24.64,0.0,2,13,0,44,2017
2017-02-14,55.806,57.478001,55.722,56.195999,56.195999,36726000.0,20.16,2.95,62.78999999999999,21.28,0.0,2,14,1,45,2017
2017-02-15,56.0,56.448002,55.287998,55.952,55.952,24739500.0,18.24,3.35,62.1,17.64,0.0,2,15,2,46,2017
2017-02-16,55.52,56.0,53.700001,53.790001,53.790001,35386500.0,20.64,3.9,58.65,14.28,0.0,2,16,3,47,2017
2017-02-17,53.16,54.577999,52.830002,54.445999,54.445999,31285500.0,19.92,3.3000000000000003,59.34,22.4,0.0,2,17,4,48,2017
2017-02-21,55.09,56.279999,54.801998,55.478001,55.478001,28383500.0,19.44,2.95,67.61999999999999,26.040000000000003,0.0,2,21,1,52,2017
2017-02-22,56.062,56.689999,54.52,54.702,54.702,43775000.0,23.04,3.3000000000000003,64.86,23.8,0.0,2,22,2,53,2017
2017-02-23,52.799999,52.931999,51.112,51.198002,51.198002,74576000.0,24.0,2.8000000000000003,63.48,17.080000000000002,0.0,2,23,3,54,2017
2017-02-24,50.532001,51.650002,50.040001,51.400002,51.400002,40858000.0,18.24,2.5,64.86,28.000000000000004,0.0,2,24,4,55,2017
2017-02-27,49.633999,49.672001,48.402,49.245998,49.245998,57304000.0,18.24,4.25,60.72,25.200000000000003,0.0,2,27,0,58,2017
2017-02-28,48.838001,50.200001,48.779999,49.998001,49.998001,30390500.0,19.68,4.95,62.78999999999999,21.840000000000003,0.0,2,28,1,59,2017
2017-03-01,50.835999,50.970001,49.821999,50.004002,50.004002,24047500.0,16.8,2.64,63.48,11.96,0.0,3,1,2,60,2017
2017-03-02,49.942001,50.655998,49.653999,50.096001,50.096001,16759000.0,17.759999999999998,2.16,64.86,14.04,0.0,3,2,3,61,2017
2017-03-03,50.147999,50.380001,49.799999,50.313999,50.313999,14597000.0,19.2,2.28,67.61999999999999,13.0,0.0,3,3,4,62,2017
2017-03-06,49.582001,50.34,49.501999,50.242001,50.242001,16777500.0,17.28,2.1,69.0,14.56,0.0,3,6,0,65,2017
2017-03-07,50.383999,50.778,49.664001,49.717999,49.717999,17297500.0,18.0,1.74,65.55,15.08,0.0,3,7,1,66,2017
2017-03-08,49.400002,50.014,49.063999,49.374001,49.374001,18626000.0,16.8,1.92,65.55,20.28,0.0,3,8,2,67,2017
2017-03-09,49.526001,49.731998,48.599998,48.98,48.98,19396500.0,17.28,1.56,59.34,18.72,0.0,3,9,3,68,2017
2017-03-10,49.242001,49.299999,48.599998,48.737999,48.737999,15331500.0,17.04,2.76,64.86,11.18,0.0,3,10,4,69,2017
2017-03-13,48.964001,49.369999,48.556,49.234001,49.234001,15113000.0,16.08,1.68,60.72,12.74,0.0,3,13,0,72,2017
2017-03-14,49.222,51.624001,49.203999,51.599998,51.599998,37992000.0,19.2,1.44,57.27,24.7,0.0,3,14,1,73,2017
2017-03-15,51.400002,52.200001,50.854,51.146,51.146,26654000.0,19.92,1.68,62.1,12.22,0.0,3,15,2,74,2017
2017-03-16,52.48,53.150002,51.812,52.41,52.41,35661000.0,18.96,1.86,58.65,18.2,0.0,3,16,3,75,2017
2017-03-17,52.799999,53.066002,52.240002,52.299999,52.299999,32487500.0,17.759999999999998,1.44,58.65,11.7,0.0,3,17,4,76,2017
2017-03-20,52.119999,52.91,51.764,52.383999,52.383999,18071500.0,16.8,1.5,60.72,12.74,0.0,3,20,0,79,2017
2017-03-21,52.566002,52.959999,50.048,50.136002,50.136002,34543000.0,16.56,1.92,62.78999999999999,17.16,0.0,3,21,1,80,2017
2017-03-22,50.312,51.014,50.102001,51.001999,51.001999,20296500.0,17.759999999999998,2.4,62.1,26.0,0.0,3,22,2,81,2017
2017-03-23,51.077999,51.534,50.66,50.956001,50.956001,16601000.0,16.8,2.04,57.96,21.06,0.0,3,23,3,82,2017
2017-03-24,51.139999,52.778,51.001999,52.632,52.632,28236500.0,18.96,1.92,56.58,18.72,0.0,3,24,4,83,2017
2017-03-27,52.119999,54.113998,51.950001,54.043999,54.043999,31154000.0,17.759999999999998,2.28,64.86,15.34,0.0,3,27,0,86,2017
2017-03-28,55.403999,56.136002,55.0,55.490002,55.490002,39938000.0,21.84,6.0,66.24,20.8,0.0,3,28,1,87,2017
2017-03-29,55.667999,55.919998,55.108002,55.476002,55.476002,18381000.0,20.16,4.02,59.34,20.02,0.0,3,29,2,88,2017
2017-03-30,55.608002,56.400002,55.442001,55.584,55.584,20742000.0,19.92,3.9,60.72,18.46,0.0,3,30,3,89,2017
2017-03-31,55.745998,55.936001,55.264,55.66,55.66,16473000.0,17.759999999999998,5.58,57.27,11.44,0.0,3,31,4,90,2017
2017-04-03,57.380001,59.799999,56.916,59.703999,59.703999,69443000.0,26.7,1.84,63.19,28.000000000000004,0.0,4,3,0,93,2017
2017-04-04,59.377998,60.962002,58.905998,60.740002,60.740002,50673000.0,30.0,1.68,66.74,17.64,0.0,4,4,1,94,2017
2017-04-05,60.408001,60.976002,58.84,59.0,59.0,39404500.0,24.0,1.28,59.64,16.8,0.0,4,5,2,95,2017
2017-04-06,59.375999,60.388,58.82,59.740002,59.740002,27603000.0,20.7,1.2,57.51,21.56,0.0,4,6,3,96,2017
2017-04-07,59.5,60.537998,59.43,60.507999,60.507999,22898000.0,20.1,1.12,55.38,14.840000000000002,0.0,4,7,4,97,2017
2017-04-10,61.830002,62.745998,61.742001,62.478001,62.478001,38322500.0,28.5,1.28,66.03,25.200000000000003,0.0,4,10,0,100,2017
2017-04-11,62.675999,62.694,61.099998,61.742001,61.742001,28623000.0,28.2,1.12,64.61,20.160000000000004,0.0,4,11,1,101,2017
2017-04-12,61.268002,61.689999,59.264,59.368,59.368,30253500.0,23.1,1.2,59.64,20.160000000000004,0.0,4,12,2,102,2017
2017-04-13,59.34,61.478001,59.060001,60.799999,60.799999,46423000.0,24.0,1.52,58.22,22.12,0.0,4,13,3,103,2017
2017-04-17,60.540001,60.799999,59.736,60.287998,60.287998,20693500.0,22.5,1.04,63.19,16.520000000000003,0.0,4,17,0,107,2017
2017-04-18,59.939999,60.167999,59.580002,60.049999,60.049999,15178500.0,21.3,1.04,56.8,22.96,0.0,4,18,1,108,2017
2017-04-19,60.492001,61.324001,60.422001,61.104,61.104,19490000.0,19.8,1.36,58.93,18.76,0.0,4,19,2,109,2017
2017-04-20,61.301998,61.830002,60.046001,60.501999,60.501999,30747000.0,21.9,1.12,71.0,26.040000000000003,0.0,4,20,3,110,2017
2017-04-21,60.400002,61.279999,60.084,61.119999,61.119999,22549000.0,21.0,1.52,63.9,17.92,0.0,4,21,4,111,2017
2017-04-24,61.844002,62.110001,61.203999,61.605999,61.605999,25417500.0,21.9,8.0,65.32,22.96,0.0,4,24,0,114,2017
2017-04-25,61.599998,62.796001,61.172001,62.757999,62.757999,33688500.0,21.9,3.92,61.06,18.48,0.0,4,25,1,115,2017
2017-04-26,62.473999,62.900002,61.799999,62.034,62.034,23475000.0,19.2,1.92,64.61,20.160000000000004,0.0,4,26,2,116,2017
2017-04-27,62.338001,62.618,61.5,61.726002,61.726002,17343000.0,20.1,2.08,60.35,20.44,0.0,4,27,3,117,2017
2017-04-28,61.966,62.959999,61.599998,62.813999,62.813999,22527500.0,18.6,2.48,70.28999999999999,11.760000000000002,0.0,4,28,4,118,2017
2017-05-01,62.976002,65.449997,62.962002,64.566002,64.566002,44148000.0,21.6,7.000000000000001,68.0,17.25,0.0,5,1,0,121,2017
2017-05-02,64.800003,65.531998,63.312,63.778,63.778,26914000.0,19.5,6.370000000000001,67.32000000000001,21.0,0.0,5,2,1,122,2017
2017-05-03,63.534,64.306,62.09,62.203999,62.203999,35667000.0,21.3,5.040000000000001,60.52,13.0,0.0,5,3,2,123,2017
2017-05-04,61.487999,61.554001,58.152,59.091999,59.091999,70760000.0,25.2,5.74,61.88,16.5,0.0,5,4,3,124,2017
2017-05-05,59.599998,61.709999,59.360001,61.669998,61.669998,40886500.0,21.6,4.340000000000001,59.84,13.0,0.0,5,5,4,125,2017
2017-05-08,62.18,62.757999,61.164001,61.438,61.438,35032500.0,19.5,3.99,65.28,18.75,0.0,5,8,0,128,2017
2017-05-09,61.875999,64.398003,61.82,64.251999,64.251999,48382500.0,18.9,2.8000000000000003,61.2,17.25,0.0,5,9,1,129,2017
2017-05-10,64.311996,65.099998,63.624001,65.043999,65.043999,28708000.0,25.5,3.5000000000000004,58.48,16.25,0.0,5,10,2,130,2017
2017-05-11,64.68,65.199997,63.919998,64.620003,64.620003,23769000.0,30.0,4.0600000000000005,57.120000000000005,16.75,0.0,5,11,3,131,2017
2017-05-12,65.096001,65.400002,64.306,64.961998,64.961998,20608000.0,25.8,5.250000000000001,59.16,14.0,0.0,5,12,4,132,2017
2017-05-15,63.675999,64.040001,62.506001,63.175999,63.175999,38110000.0,20.4,4.340000000000001,61.2,12.25,0.0,5,15,0,135,2017
2017-05-16,63.518002,64.012001,63.028,63.402,63.402,20762500.0,20.4,3.1500000000000004,58.48,25.0,0.0,5,16,1,136,2017
2017-05-17,62.877998,62.925999,61.099998,61.222,61.222,33559500.0,20.7,3.2900000000000005,56.440000000000005,16.75,0.0,5,17,2,137,2017
2017-05-18,61.400002,62.787998,61.062,62.612,62.612,28269000.0,19.2,3.5700000000000003,59.84,13.5,0.0,5,18,3,138,2017
2017-05-19,63.099998,63.299999,62.040001,62.166,62.166,23438000.0,20.1,3.22,52.36000000000001,8.5,0.0,5,19,4,139,2017
2017-05-22,62.560001,62.874001,61.360001,62.07,62.07,21646000.0,20.1,3.01,59.84,10.0,0.0,5,22,0,142,2017
2017-05-23,62.091999,62.146,60.695999,60.771999,60.771999,21592000.0,18.0,2.3800000000000003,59.84,15.25,0.0,5,23,1,143,2017
2017-05-24,61.301998,62.200001,61.080002,62.043999,62.043999,25166500.0,18.0,2.45,57.8,12.75,0.0,5,24,2,144,2017
2017-05-25,62.203999,63.394001,61.562,63.366001,63.366001,25070000.0,19.2,2.66,59.16,14.25,0.0,5,25,3,145,2017
2017-05-26,63.456001,65.098,63.262001,65.028,65.028,39011000.0,21.0,2.7300000000000004,57.120000000000005,12.75,0.0,5,26,4,146,2017
2017-05-30,65.199997,67.255997,65.152,67.019997,67.019997,38914500.0,18.0,3.640000000000001,59.16,11.75,0.0,5,30,1,150,2017
2017-05-31,67.538002,68.578003,67.031998,68.202003,68.202003,49817000.0,18.3,6.0200000000000005,57.8,14.75,0.0,5,31,2,151,2017
2017-06-01,68.800003,68.975998,67.458,68.073997,68.073997,38040000.0,24.36,7.000000000000001,66.33,27.0,0.0,6,1,3,152,2017
2017-06-02,67.954002,68.575996,67.185997,67.970001,67.970001,27951000.0,26.1,5.880000000000001,62.98,20.790000000000003,0.0,6,2,4,153,2017
2017-06-05,67.699997,69.688004,66.842003,69.463997,69.463997,33922000.0,21.75,1.1900000000000002,61.64,18.36,0.0,6,5,0,156,2017
2017-06-06,68.940002,71.898003,67.994003,70.57,70.57,55434000.0,23.78,1.4,63.650000000000006,13.77,0.0,6,6,1,157,2017
2017-06-07,71.267998,72.099998,71.028,71.93,71.93,46990000.0,29.0,1.4,64.32000000000001,18.36,0.0,6,7,2,158,2017
2017-06-08,72.75,74.379997,72.043999,74.0,74.0,45307500.0,25.23,1.33,60.970000000000006,16.740000000000002,0.0,6,8,3,159,2017
2017-06-09,74.884003,75.374001,70.959999,71.463997,71.463997,86307000.0,26.97,1.12,63.650000000000006,14.04,0.0,6,9,4,160,2017
2017-06-12,71.598,72.900002,70.124001,71.802002,71.802002,52588500.0,22.91,0.98,62.31,18.630000000000003,0.0,6,12,0,163,2017
2017-06-13,73.524002,75.199997,73.321999,75.190002,75.190002,59039500.0,25.52,1.12,58.96,18.9,0.0,6,13,1,164,2017
2017-06-14,76.218002,76.849998,75.262001,76.132004,76.132004,64092000.0,25.23,1.1900000000000002,61.64,9.72,0.0,6,14,2,165,2017
2017-06-15,74.5,75.092003,73.297997,75.068001,75.068001,52132500.0,26.1,1.33,64.32000000000001,16.470000000000002,0.0,6,15,3,166,2017
2017-06-16,75.596001,75.601997,74.019997,74.279999,74.279999,33655000.0,24.65,1.61,60.970000000000006,13.77,0.0,6,16,4,167,2017
2017-06-19,75.0,75.339996,73.559998,73.959999,73.959999,32746500.0,22.91,1.4700000000000002,64.99000000000001,25.65,0.0,6,19,0,170,2017
2017-06-20,75.334,75.776001,73.945999,74.447998,74.447998,37193500.0,24.94,1.4,64.99000000000001,21.06,0.0,6,20,1,171,2017
2017-06-21,74.870003,75.398003,73.603996,75.279999,75.279999,24616000.0,24.65,1.1900000000000002,65.66000000000001,18.9,0.0,6,21,2,172,2017
2017-06-22,75.598,77.0,74.713997,76.522003,76.522003,37649000.0,24.94,1.2600000000000002,67.0,11.88,0.0,6,22,3,173,2017
2017-06-23,76.489998,77.398003,75.870003,76.690002,76.690002,32229000.0,24.36,1.2600000000000002,66.33,14.85,0.0,6,23,4,174,2017
2017-06-26,77.337997,77.389999,74.620003,75.498001,75.498001,33020500.0,23.2,1.33,64.32000000000001,16.200000000000003,0.0,6,26,0,177,2017
2017-06-27,75.279999,75.279999,72.403999,72.473999,72.473999,34982000.0,23.2,1.33,60.970000000000006,10.260000000000002,0.0,6,27,1,178,2017
2017-06-28,73.335999,74.348,72.503998,74.248001,74.248001,31512500.0,20.88,1.54,63.650000000000006,19.98,0.0,6,28,2,179,2017
2017-06-29,74.122002,74.199997,70.82,72.150002,72.150002,41105000.0,23.49,1.61,63.650000000000006,18.09,0.0,6,29,3,180,2017
2017-06-30,72.741997,73.353996,71.924004,72.321999,72.321999,29242500.0,22.04,1.4700000000000002,65.66000000000001,22.14,0.0,6,30,4,181,2017
2017-07-03,74.047997,74.269997,70.300003,70.524002,70.524002,31527000.0,24.51,5.92,55.68,22.12,0.0,7,3,0,184,2017
2017-07-05,69.440002,69.447998,65.265999,65.417999,65.417999,85233500.0,17.2,3.84,61.44,18.48,0.0,7,5,2,186,2017
2017-07-06,63.452,64.157997,61.259998,61.765999,61.765999,96622500.0,16.34,3.6,55.04,17.360000000000003,0.0,7,6,3,187,2017
2017-07-07,62.700001,63.400002,61.476002,62.644001,62.644001,70884500.0,17.2,3.36,54.4,12.32,0.0,7,7,4,188,2017
2017-07-10,62.580002,63.588001,60.625999,63.209999,63.209999,69104500.0,18.06,4.08,57.6,11.48,0.0,7,10,0,191,2017
2017-07-11,63.200001,65.456001,62.860001,65.444,65.444,57797000.0,14.62,3.76,55.04,12.04,0.0,7,11,1,192,2017
2017-07-12,66.080002,66.620003,64.900002,65.903999,65.903999,51730500.0,12.47,3.12,56.96,8.680000000000001,0.0,7,12,2,193,2017
2017-07-13,66.022003,66.32,63.993999,64.681999,64.681999,42972500.0,11.18,3.12,58.24,6.720000000000001,0.0,7,13,3,194,2017
2017-07-14,64.638,65.683998,64.244003,65.556,65.556,28126000.0,11.61,2.48,58.24,12.32,0.0,7,14,4,195,2017
2017-07-17,65.108002,65.419998,62.689999,63.914001,63.914001,49384500.0,11.18,4.96,56.96,9.52,0.0,7,17,0,198,2017
2017-07-18,63.5,65.825996,63.132,65.648003,65.648003,31868500.0,10.75,4.16,60.8,15.400000000000002,0.0,7,18,1,199,2017
2017-07-19,65.646004,66.330002,64.643997,65.052002,65.052002,31785000.0,10.75,3.52,58.24,9.52,0.0,7,19,2,200,2017
2017-07-20,65.379997,66.043999,64.839996,65.984001,65.984001,25831000.0,11.61,8.0,59.52,15.96,0.0,7,20,3,201,2017
2017-07-21,65.891998,66.251999,65.160004,65.68,65.68,24508000.0,11.61,7.84,58.88,9.52,0.0,7,21,4,202,2017
2017-07-24,66.047997,68.68,66.001999,68.503998,68.503998,43185500.0,10.75,3.28,59.52,11.2,0.0,7,24,0,205,2017
2017-07-25,69.0,69.120003,66.830002,67.919998,67.919998,34946000.0,11.18,4.8,64.0,11.2,0.0,7,25,1,206,2017
2017-07-26,68.071999,69.099998,67.624001,68.769997,68.769997,24104000.0,11.61,5.2,59.52,15.96,0.0,7,26,2,207,2017
2017-07-27,69.199997,69.5,65.258003,66.891998,66.891998,41512000.0,11.61,4.24,58.24,14.560000000000002,0.0,7,27,3,208,2017
2017-07-28,67.377998,67.919998,66.501999,67.014,67.014,24402000.0,17.2,4.4,58.24,8.120000000000001,0.0,7,28,4,209,2017
2017-07-31,67.099998,68.297997,64.208,64.694,64.694,42675500.0,20.64,4.4,63.36,15.400000000000002,0.0,7,31,0,212,2017
2017-08-01,64.599998,64.889999,63.226002,63.914001,63.914001,41515500.0,30.94,5.880000000000001,60.48,18.56,0.0,8,1,1,213,2017
2017-08-02,63.787998,65.424004,62.243999,65.178001,65.178001,65457500.0,30.94,4.9,56.7,26.56,0.0,8,2,2,214,2017
2017-08-03,69.066002,70.0,68.629997,69.417999,69.417999,67675000.0,34.0,5.040000000000001,52.92,31.36,0.0,8,3,3,215,2017
